"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 16 18:45:01 GMT 2021","Thu Dec 16 18:45:05 GMT 2021","3566","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Thu Dec 16 18:45:01 GMT 2021","Thu Dec 16 18:45:05 GMT 2021","3638","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Thu Dec 16 18:45:01 GMT 2021","Thu Dec 16 18:45:11 GMT 2021","10379","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
